119,118,122
95,80,94
162,80,95
74,73,167
6499,6501,4097
5303,5294,5293
855,856,1081
94,103,2552
94,104,103
1100,1319,1562
7103,8543,7342
9,13,12
4096,3856,4098
7942,5300,7941
130,110,131
357,356,368
1333,1334,3974
842,609,610
855,854,837
1056,1055,1123
1078,1583,1100
846,1814,1815
858,1803,1056
163,78,2559
704,747,703
14498,14517,14497
9274,9275,11898
6498,6982,6499
1084,1085,851
14521,14520,14517
6743,6982,8903
43,23,22
6018,6019,4578
7939,7940,5302
7939,5303,7938
5292,5293,2661
102,95,103
102,145,95
13569,13393,13372
10553,7975,10532
13873,14027,13874
12389,14070,12628
357,368,367
2538,102,117
116,117,102
143,2555,97
101,2538,117
2753,2557,98
126,367,358
844,607,608
364,603,605
604,605,2054
604,364,605
5396,7844,7845
1298,1299,1561
126,357,367
10596,10577,10357
124,116,359
598,599,369
3967,3968,1339
1340,3967,1339
1341,1320,1319
12389,12628,11187
99,2556,98
163,96,78
13810,13611,13830
5396,5222,2731
2554,144,97
105,106,2542
5374,5353,5244
13174,13153,13306
1330,1089,1090
1330,1331,1089
5898,5899,7343
100,97,101
79,75,166
33,187,54
13611,13591,13830
12628,14070,13831
8783,9747,8782
10707,12869,13108
4699,5898,5659
4938,4699,5659
13949,13950,13711
2646,9,2645
8040,8041,10488
4698,4699,3255
3254,3255,4699
5375,7845,7866
2537,141,118
74,75,56
74,166,75
2730,2579,5222
9747,11426,11187
7710,7935,7949
230,11,10
32,2622,2623
17,16,5
52,188,53
34,52,53
103,104,2540
355,354,370
10575,10554,10620
113,127,114
114,2540,104
74,185,57
70,69,84
37,36,29
36,35,30
50,51,36
12149,12148,14310
71,70,83
38,39,48
2895,2175,2414
219,220,263
2652,2653,2
43,44,42
550,571,396
47,48,39
11666,9506,11667
6623,9261,9262
88,154,153
84,91,83
64,66,67
599,600,368
286,176,197
2653,2652,2656
2415,242,241
64,46,45
725,505,484
3374,4579,3375
462,461,264
528,682,681
154,175,308
748,946,945
726,747,704
879,1054,1055
2305,351,374
3983,3970,3984
3969,3984,3970
11909,11910,14549
1082,855,1081
3987,3965,6610
6617,6616,6625
3972,3982,3981
3971,3982,3972
11918,11896,11919
6609,3944,4009
