844,849,848
1934,1935,3374
1297,1296,1122
1297,1122,1276
835,2044,616
118,117,123
845,844,848
25,18,24
13942,13961,13943
184,57,58
1815,3495,3494
2554,144,97
7931,7910,7976
5658,5419,4939
5178,4939,5419
2537,141,118
143,2555,97
2539,116,102
8018,8019,10510
9888,8663,8662
4819,3134,5058
747,946,748
365,606,603
115,114,126
7103,8782,8543
1230,1210,1231
14479,14478,14474
14475,14474,14478
14449,14461,14460
12509,11308,12510
12509,12488,11308
130,111,110
14501,14497,14496
39,48,38
14497,14500,14498
127,114,113
10828,12968,11067
26,27,16
7934,7935,5307
2537,101,141
13241,13220,13242
13949,13712,13713
2884,5289,2664
128,356,127
2556,2753,98
1090,1089,1087
603,364,360
362,122,363
122,118,361
76,55,165
104,94,2551
3494,4698,3255
4459,4698,3494
114,127,357
847,1573,1814
120,2535,99
13131,13110,13351
13352,13351,13110
124,116,359
1605,1122,1123
1098,1322,1323
855,856,1081
187,33,53
13373,13571,13570
2540,114,115
208,53,33
8782,9986,8543
100,118,119
10510,10489,10685
99,2774,2556
54,186,55
5303,7938,7939
11,2623,2643
5353,7887,5352
5375,7845,7866
9022,8783,6863
78,2559,163
5375,5396,7845
10642,13175,10621
10532,7997,7998
2600,2730,5223
110,132,2524
110,2545,132
78,97,164
58,52,189
183,59,72
31,230,12
7867,7887,5353
11428,11667,12389
7952,7933,7713
230,11,10
9506,9023,9265
50,37,49
369,355,370
103,115,2539
114,104,2541
95,80,94
162,80,95
163,2559,79
2574,168,81
286,307,176
113,114,2541
9,8,13
49,38,48
70,60,61
24,42,41
25,26,17
5,2650,4
23,20,22
2653,2656,2655
285,461,440
14312,12149,11909
12390,11427,11428
84,69,85
67,86,68
68,63,67
368,356,369
264,219,263
3135,3134,4819
681,549,528
264,461,285
241,220,21
285,440,286
9845,8663,8901
770,681,769
9297,9232,9231
90,2548,91
659,2021,638
1088,1087,1089
1572,1088,1089
1123,1122,1056
11902,9272,11901
3734,3735,4218
357,368,367
572,2087,638
1339,1338,1323
1322,1339,1323
593,2066,637
9261,6623,6624
358,115,126
842,609,610
599,369,598
1121,1100,1077
599,600,368
356,355,369
370,355,354
2262,571,395
3975,3976,1332
11089,9867,10106
923,791,770
660,659,550
1013,902,923
14521,14542,11941
14521,14541,14542
901,792,902
901,1848,792
11903,11902,11914
9259,9270,9260
4098,6498,6499
1122,1143,1277
3877,1451,3856
3856,1451,3857
10596,10579,10356
9210,9298,9231
9269,11903,11904
13473,13474,13709
9232,9276,9253
1298,1297,1363
11915,11902,11901
4031,1386,3921
9232,6653,6654
11903,11914,11913
6675,6566,6565
14469,14485,14484
1561,1298,1299
1144,1254,1274
9260,9270,9269
7222,6983,6258
6501,6499,6742
14513,14527,14514
1232,1233,1231
6654,6566,6675
14517,14518,14501
11919,11897,11920
11964,14499,11963
6499,4096,4098
14500,14518,14519
9231,9232,6654
601,602,366
6741,9145,9144
122,361,363
6697,9209,6676
14516,14504,14515
6565,6566,4032
6720,9187,6719
14475,14478,14477
14476,14475,14477
14432,14431,14435
14468,14486,14485
9866,9867,11286
3855,1450,1452
14529,14534,14535
4339,6019,6258
13713,13714,13949
13944,13945,13718
10665,10664,10511
11067,12750,12771
11067,12989,12750
14516,14503,14504
10664,13153,13154
14159,13984,14158
13235,13477,13467
13960,13959,13944
11876,9298,11875
13471,13472,13493
9342,11832,9341
14468,14467,14486
14428,14429,14194
14194,14191,14190
14429,14193,14194
14425,14426,14198
14438,14448,14449
12030,12028,14411
14441,14446,14440
14441,14440,14425
11831,11985,11964
6522,6521,6719
14499,14500,14519
13930,13712,13951
14549,11914,14548
14448,14439,14447
14485,14469,14468
9627,9626,8903
9627,11526,9626
9143,8903,9142
6742,8903,9143
1034,1143,1142
1034,1144,1143
9626,11547,11548
8663,7222,8662
14512,14513,14507
9845,9866,8902
3135,4818,3374
6498,4098,6259
1693,3615,1452
703,747,748
506,704,703
505,506,461
14533,14551,14534
7222,6019,7223
3135,3374,1935
725,484,2174
63,47,46
2,2653,1
7946,10585,7945
12750,12989,13493
10589,10588,10586
2662,5292,2661
14553,14552,14532
2659,5295,2658
5304,5293,5292
7941,7944,7943
2,2652,2653
5302,7940,5301
7938,5304,7937
28,15,27
14333,14311,14312
9,13,12
2686,2643,2623
7938,7946,7939
14356,14247,14268
13474,13473,13470
13945,13717,13718
10582,10581,10604
10583,10605,10592
10583,10592,10591
13473,13472,13471
13475,13708,13474
14290,14291,14334
10686,13131,10685
12390,11428,12389
166,79,75
12389,12150,14311
12629,12390,14071
2646,8,9
7936,5306,7935
2645,2425,2664
5308,5288,5528
53,34,188
5290,5291,2663
5067,5291,5290
2644,2665,2884
7867,5353,5374
7932,7931,7975
13372,13591,13571
10643,13154,13175
2774,2775,5179
5178,5179,2775
2553,95,145
5310,5288,5287
7998,7887,8018
13416,13548,13527
5309,5288,5310
5331,5310,5287
14199,14198,14185
13947,13948,13715
6521,6500,6719
5308,5069,5288
125,116,115
14464,14467,14463
13176,13286,13197
13959,14183,14184
14426,14197,14198
14421,14202,14203
10818,10596,13217
13465,13478,13236
14185,13957,13958
11547,9627,11308
11547,9625,9627
14006,13897,13896
13461,13242,13460
13461,13241,13242
3015,4938,4939
3014,3015,4939
10598,13221,10817
10598,10577,10599
13226,13225,13248
10621,10555,10642
13704,13479,13720
7953,8172,7932
13465,13704,13478
13940,13744,13919
13940,13723,13744
13245,13222,13238
13330,13132,13131
13221,13222,10597
14007,14137,14006
363,361,604
13416,13417,13285
609,599,610
1336,1324,1337
13713,13710,13714
100,2537,118
13286,13307,13395
13176,13307,13286
13154,13153,13308
13197,13285,13198
14421,14203,14400
13238,13239,13463
361,118,123
604,2054,2055
364,123,360
601,366,358
100,101,2537
119,2536,142
99,2536,119
122,119,118
2055,3254,3015
2294,2055,3015
4218,6379,4219
2294,3015,3014
2295,2294,3014
2295,363,2294
2295,362,363
2534,362,2295
2534,121,362
120,119,121
1330,1089,1090
1330,1331,1089
142,2536,100
121,119,362
119,122,362
2295,3014,2775
2534,2295,2775
121,2534,2535
120,121,2535
13109,10708,12870
142,100,119
120,99,119
2535,2774,99
99,100,2536
604,2055,2294
363,604,2294
1331,1572,1089
8062,7844,5397
2534,2775,2774
2535,2534,2774
2556,5179,2753
2775,3014,5178
4939,5178,3014
4699,4938,3254
3015,3254,4938
364,603,605
361,123,364
5899,6138,7342
143,97,100
7103,7102,8782
79,166,74
848,847,845
117,101,2538
145,102,2553
144,2554,96
2709,5244,2708
100,97,101
97,144,101
